id,created_at,updated_at,deleted_at,name,description,tags,repo_link,comm_channel,readme_link,project_status,last_pull_time,commit_count,pull_count,lines_added,lines_removed,contributors,pulls,mentor_id,secondary_mentor_id,status_remark
109,2023-11-29 16:28:19.595334+00,2023-11-29 16:28:19.595334+00,,VigyBag,vigyBag is an Ecommerce website which is help to buy product near to shop - Location based shopping solution,"Html,CSS,JavaScript, Kotlin, Django",https://github.com/codervivek5/vigyBag/,https://discord.gg/pkzWGuBY,https://github.com/codervivek5/VigyBag/blob/main/README.md,false,0,0,0,0,0,,,88,,
95,2023-11-26 18:30:20.902188+00,2023-11-26 18:30:20.902188+00,,"Vlab Solutions ",This project is a web application designed to assist colleges and students in managing their assignment works and conducting tests online. The platform is built using React for the frontend and Node.js with Express.js for the backend. MongoDB serves as the database to store essential information.,"Reactjs, Javascript, Html,Css, and backend Technologies",https://github.com/officialarmannqureshi/vlabsolutions,https://discord.com/invite/yM2y9Tmk,https://github.com/officialarmannqureshi/vlabsolutions/blob/main/README.md,true,1702487436,2,2,87,3,"manzil-infinity180,pinak22dhir","https://github.com/officialarmannqureshi/vlabsolutions/pull/25,https://github.com/officialarmannqureshi/vlabsolutions/pull/22",71,,
80,2023-11-23 16:52:54.639776+00,2023-11-23 16:52:54.639776+00,,Drive_BOX,"Drive-BOX is a collaborative platform where users can log in, upload their projects, and collaborate with others. The project is hosted on a web hosting website named ""railway,"" making it accessible to users worldwide. Its functionality is similar to that of GitHub, providing a user-friendly interface for uploading and managing projects.","DJANGO PYTHON HTML JS ",https://github.com/pratt0007/Drive_BOX,https://discord.gg/84NZ5bgz,https://github.com/pratt0007/Drive_BOX/blob/main/README.md,true,1702877706,2,2,221,59,"ShreyaBose04,pinak22dhir","https://github.com/pratt0007/Drive_BOX/pull/10,https://github.com/pratt0007/Drive_BOX/pull/9",45,41,
135,2023-12-12 16:13:06.260627+00,2023-12-12 16:13:06.260627+00,,MetaKGP Wiki,"The containerized source code for the MetaKGP community wiki, built with MediaWiki.","php,mediawiki,docker,nginx",https://github.com/metakgp/metakgp-wiki,https://slack.metakgp.org/,https://github.com/metakgp/metakgp-wiki#readme,true,1703238162,6,3,57,8,shikharish,"https://github.com/metakgp/metakgp-wiki/pull/121,https://github.com/metakgp/metakgp-wiki/pull/117,https://github.com/metakgp/metakgp-wiki/pull/116",8,7,
45,2023-11-14 11:53:58.441568+00,2023-11-14 11:53:58.441568+00,,Devlabs," Devlabs is an application that is used to search for free tools that are both free and helpful for our needs. It is built by the amazing open-source community","javascript, html, css, reactjs, nodejs, expressjs",https://github.com/HimanshuNarware/Devlabs,https://discord.gg/4NyeYC2n4j,https://github.com/HimanshuNarware/Devlabs/blob/main/README.md,true,1703081733,5,3,304,81,"anand-harsh,tushar-daiya","https://github.com/HimanshuNarware/Devlabs/pull/186,https://github.com/HimanshuNarware/Devlabs/pull/184,https://github.com/HimanshuNarware/Devlabs/pull/181",6,,
44,2023-11-14 07:24:07.358444+00,2023-11-26 18:23:01.414787+00,,Expiration Date Tracker,"WasteNot is a web application designed to help users keep track of their food items, manage expiration dates, and make informed grocery decisions. The app includes features such as user authentication, food item addition through various methods (receipt, photo, barcode), and timely reminders about expiring items.","MERN, Python, Machine Learning, Computer Vision",https://github.com/ishuonly/ExpirationDateTracker,https://github.com/ishuonly/ExpirationDateTracker/discussions,https://github.com/ishuonly/ExpirationDateTracker/discussions,true,1702060200,0,0,0,0,,,5,,
93,2023-11-26 07:57:35.16207+00,2023-11-26 07:57:35.16207+00,,MineDroid,"Chatbot to respond to text queries pertaining to various Acts, Rules, and Regulations applicable to Mining industries","python, streamlit, langchain,openai",https://github.com/SohamKukreti/MineDroid,https://discord.gg/arH3tRhVTq,https://github.com/SohamKukreti/MineDroid#readme,true,1702831069,0,1,60,1,pinak22dhir,https://github.com/SohamKukreti/MineDroid/pull/20,50,40,
94,2023-11-26 17:04:38.209218+00,2023-11-26 17:04:38.209218+00,,Resonate,An Open Source Social Voice Platform - Flutter Application,"flutter,appwrite,livekit",https://github.com/AOSSIE-Org/Resonate,https://discord.gg/HKnHDW4xTG,https://github.com/AOSSIE-Org/Resonate#readme,true,1704730385,0,0,0,0,,,70,,
106,2023-11-27 17:14:17.232992+00,2023-11-27 17:14:17.232992+00,,TeachGPT,TeachGPT is a open-source initiative focused on developing an AI-Powered Virtual Tutor. This innovative virtual tutor leverages the full potential of artificial intelligence to revolutionize the way we learn. The primary objective is to construct a Large Language Model(LLM) that dynamically adjusts to individual learning styles while delivering lifelike conversations through AI agents. This is complemented by seamless integration of speech recognition technology and the strategic incorporation of gamification methods .,"Python,NLP,AI &ML, LLM",https://github.com/Priyamakeshwari/TeachGPT,https://discord.gg/hEr97zTPtN,https://github.com/Priyamakeshwari/TeachGPT#readme,true,1702060200,0,0,0,0,,,82,81,
3,2023-11-13 23:41:22.355362+00,2023-11-13 23:41:22.355362+00,,Chillzone,Find a place to chill during class hours in IIT KGP,"iitkgp,golang,react,javascript,python",https://github.com/metakgp/chillzone,https://slack.metakgp.org,https://github.com/metakgp/chillzone#readme,true,1704787554,1,1,5182,3109,shikharish,https://github.com/metakgp/chillzone/pull/62,1,7,
136,2023-12-14 17:04:30.414333+00,2023-12-15 03:37:54.502826+00,,DoodleCollab,"Dynamic web application designed for seamless collaboration on mockup drawings. Whether you're sketching wireframes, designing user interfaces, or brainstorming ideas visually, it provides an intuitive platform where users can create, share, and collaborate in real-time.","reactjs, javascript, auth, nodejs, html",https://github.com/WikiPortal/DoodleCollab,https://discord.gg/VWHHr7ZqZR,https://github.com/WikiPortal/Doppler#readme,true,1704607060,7,4,391,12,"Paarisha1,Bikram-ghuku,Souvik34","https://github.com/WikiPortal/DoodleCollab/pull/30,https://github.com/WikiPortal/DoodleCollab/pull/29,https://github.com/WikiPortal/DoodleCollab/pull/20,https://github.com/WikiPortal/DoodleCollab/pull/31",111,,
122,2023-12-04 13:21:21.924985+00,2023-12-04 13:21:21.924985+00,,Linkscrape,"LinkScrape is a dynamic application designed to extract and collect essential links from specific websites. It operates by traversing through the pages of a designated site, meticulously capturing the names of embedded links along with their respective addresses. All you have to do is enter the link address in the placeholder and click on scrape. All the embedded links of that particular website is list down in the form of table with their names. Repeat the same process make sure to delete the previous history before considering another URL's.  Future implementation includes Content based Filtering UI/UX enhancement, AI driven tags, File extraction in CSV, JSON, Adding geolocation ,Analytical Dashboard","Django, HTML,CSS, Javascript, Django-admin",https://github.com/Shreya111111/Linkscrape,https://discord.com/channels/1134784875900186624/1134784876491575401,https://github.com/Shreya111111/Linkscrape#readme,true,1704208750,8,4,865,221,Touseef-md,"https://github.com/Shreya111111/Linkscrape/pull/15,https://github.com/Shreya111111/Linkscrape/pull/13,https://github.com/Shreya111111/Linkscrape/pull/12,https://github.com/Shreya111111/Linkscrape/pull/11",104,,
113,2023-11-30 18:22:50.414655+00,2023-11-30 18:22:50.414655+00,,Zoo,ZOO(for  Hostelers )- A Svelte-based project to streamline hostel management and student life.  Key Features:  Efficient room allocation system Mess management and feedback portal Maintenance request tracking Event calendar and visitor management,"svelte,tailwindcss,javascript,firebase",https://github.com/1palermo/Zoo,https://discord.gg/vd52kgC77J,https://github.com/1palermo/Zoo/blob/main/README.md,false,0,0,0,0,0,,,83,,
